timestamp,mac_address,crop_number,date,time,soil_moisture,soil_nitrogen,soil_phosphorus,soil_potassium,soil_temperature,soil_conductivity,soil_ph,air_temperature,air_humidity
1755635831.5592468,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.1,34.3,7.6,30.8,61.0
1755635872.941425,F4:65:0B:54:74:58,2,,,34.1,19,26,64,28.9,34.1,7.6,30.8,61.0
1755635914.3275344,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.1,34.3,7.6,30.8,60.8
1755635955.7123144,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,60.9
1755635997.0977283,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.1,34.3,7.6,30.8,60.9
1755636038.4802878,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.0,34.1,7.6,30.8,60.9
1755636079.865693,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.0,34.1,7.6,30.8,60.9
1755636121.2483366,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.0,34.1,7.6,30.8,60.9
1755636162.6314692,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.0,34.1,7.6,30.8,60.9
1755636204.0232053,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.0
1755636245.4010365,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.0
1755636286.7864702,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.0,34.1,7.6,30.8,60.9
1755636328.170652,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.0,34.1,7.6,30.8,61.0
1755636369.5581567,F4:65:0B:54:74:58,2,,,34.1,19,26,64,28.9,34.1,7.6,30.8,61.0
1755636410.9417155,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.1,34.3,7.6,30.8,61.0
1755636452.32503,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.0,34.3,7.6,30.8,61.1
1755636493.7155457,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.0,34.1,7.6,30.8,61.1
1755636535.0951169,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.1
1755636576.4745958,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.0,34.1,7.6,30.8,61.2
1755636617.85368,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.1,34.3,7.6,30.8,61.2
1755636659.2315264,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.2
1755636700.6120749,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.2
1755636741.9900851,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.0,34.1,7.6,30.8,61.2
1755636783.3765767,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.1
1755636824.7519734,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.2
1755636866.1330998,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.0,34.1,7.6,30.8,61.2
1755636907.5130928,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.1
1755636948.8941276,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.2
1755636990.2749858,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.0,34.1,7.6,30.8,61.2
1755637031.658914,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.2
1755637073.045874,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.1
1755637114.4207618,F4:65:0B:54:74:58,2,,,34.1,19,26,64,28.9,34.1,7.6,30.8,61.2
1755637155.8030066,F4:65:0B:54:74:58,2,,,34.0,19,26,64,29.1,34.0,7.6,30.8,61.3
1755637197.184463,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.2
1755637238.5664656,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.2
1755637279.9497774,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.3
1755637321.3316457,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.0,34.1,7.6,30.8,61.3
1755637362.7224925,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.3
1755637404.0969305,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.2
1755637445.4811132,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.2
1755637486.8629975,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.3
1755637528.2447472,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.0,34.1,7.6,30.8,61.2
1755637569.6281457,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.2
1755637611.0124867,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.0,34.1,7.6,30.8,61.4
1755637652.3946505,F4:65:0B:54:74:58,2,,,34.1,19,26,64,28.9,34.1,7.6,30.8,61.3
1755637693.779059,F4:65:0B:54:74:58,2,,,34.0,19,26,64,29.1,34.0,7.6,30.8,61.4
1755637735.1627324,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.4
1755637776.544842,F4:65:0B:54:74:58,2,,,34.0,19,26,64,28.9,34.0,7.6,30.8,61.3
1755637817.9308093,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.0,34.1,7.6,30.8,61.4
1755637859.3136766,F4:65:0B:54:74:58,2,,,34.0,19,26,64,29.0,34.0,7.6,30.8,61.5
1755637900.697718,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.4
1755637942.0863185,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.0,34.1,7.6,30.8,61.3
1755637983.465867,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.4
1755638024.849614,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.0,34.1,7.6,30.8,61.4
1755638066.2333972,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.4
1755638107.6166162,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.0,34.1,7.6,30.8,61.4
1755638149.000555,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.3
1755638190.3846424,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.0,34.1,7.6,30.8,61.4
1755638231.7697554,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.4
1755638273.1495218,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.0,34.1,7.6,30.8,61.3
1755638314.5338514,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.0,34.1,7.6,30.8,61.5
1755638355.9168582,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.0,34.1,7.6,30.8,61.5
1755638397.3001223,F4:65:0B:54:74:58,2,,,34.0,19,26,64,29.1,34.0,7.6,30.8,61.6
1755638438.6857662,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.4
1755638480.0698664,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.5
1755638521.4551775,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.5
1755638562.8375452,F4:65:0B:54:74:58,2,,,34.0,19,26,64,29.0,34.0,7.6,30.8,61.5
1755638604.220309,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.5
1755638645.6069655,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.5
1755638686.9921763,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.0,34.1,7.6,30.8,61.6
1755638728.3774245,F4:65:0B:54:74:58,2,,,34.0,19,26,64,29.1,34.0,7.6,30.8,61.7
1755638769.7633018,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.4
1755638811.152484,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.4
1755638852.53543,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.0,34.1,7.6,30.8,61.6
1755638893.9205034,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.0,34.1,7.6,30.8,61.6
1755638935.3060262,F4:65:0B:54:74:58,2,,,34.0,19,26,64,29.0,34.0,7.6,30.8,61.5
1755638976.6921134,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.0,34.1,7.6,30.8,61.5
1755639018.0756607,F4:65:0B:54:74:58,2,,,33.9,19,26,64,29.1,33.9,7.6,30.8,61.6
1755639059.460521,F4:65:0B:54:74:58,2,,,34.0,19,26,64,29.1,34.0,7.6,30.8,61.7
1755639100.847583,F4:65:0B:54:74:58,2,,,34.0,19,26,64,29.0,34.0,7.6,30.8,61.5
1755639142.2299862,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.6
1755639183.6146114,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.0,34.1,7.6,30.8,61.7
1755639224.9978058,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.8
1755639266.3814757,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.6
1755639307.766457,F4:65:0B:54:74:58,2,,,34.0,19,26,64,29.0,34.0,7.6,30.8,61.8
1755639349.1514313,F4:65:0B:54:74:58,2,,,34.0,19,26,64,29.1,34.0,7.6,30.8,61.7
1755639390.540445,F4:65:0B:54:74:58,2,,,34.0,19,26,64,29.1,34.0,7.6,30.8,61.7
1755639431.9191525,F4:65:0B:54:74:58,2,,,34.0,19,26,64,29.1,34.0,7.6,30.8,61.8
1755639473.3037987,F4:65:0B:54:74:58,2,,,33.9,19,26,64,29.1,33.9,7.6,30.8,61.7
1755639514.6881166,F4:65:0B:54:74:58,2,,,33.9,19,26,64,29.1,33.9,7.6,30.8,61.7
1755639556.0730236,F4:65:0B:54:74:58,2,,,34.0,19,26,64,29.0,34.0,7.6,30.8,61.8
1755639597.4572892,F4:65:0B:54:74:58,2,,,34.0,19,26,64,29.0,34.0,7.6,30.8,61.9
1755639638.8413484,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.8
1755639680.2324953,F4:65:0B:54:74:58,2,,,33.9,19,26,64,29.0,33.9,7.6,30.8,61.9
1755639721.6108863,F4:65:0B:54:74:58,2,,,34.0,19,26,64,29.0,34.0,7.6,30.8,61.9
1755639762.9958832,F4:65:0B:54:74:58,2,,,33.9,19,26,64,29.0,33.9,7.6,30.7,61.8
1755639804.3822625,F4:65:0B:54:74:58,2,,,33.9,19,26,64,29.0,33.9,7.6,30.8,61.8
1755639845.768199,F4:65:0B:54:74:58,2,,,33.9,19,26,64,29.1,33.9,7.6,30.8,61.9
1755639887.1507885,F4:65:0B:54:74:58,2,,,34.0,19,26,64,29.0,34.0,7.6,30.8,61.8
1755639928.5354712,F4:65:0B:54:74:58,2,,,33.9,19,26,64,29.1,33.9,7.6,30.8,61.9
1755639969.9221427,F4:65:0B:54:74:58,2,,,33.9,19,26,64,29.1,33.9,7.6,30.8,61.9
